Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative ID,Destination Domains
https://ure.pia.co.jp/list/media?c=umai-niku/,https://ure.pia.co.jp/list/rss?media=umai-niku,うまい肉,Food,Disabled,,,article,,ure.pia.co.jp
https://1000bero.net/,https://www.1000bero.net/feed/,せんべろnet,Food,Disabled,,,article,,1000bero.net
https://www.hotpepper.jp/mesitsu/,https://www.hotpepper.jp/mesitsu/feed,メシ通 | ホットペッパーグルメ,Food,Disabled,,,article,,www.hotpepper.jp
https://www.inshokuten.com/foodist/,https://www.inshokuten.com/foodist/feed/,Foodist Media,Food,Disabled,,,article,,www.inshokuten.com;www.tenpodesign.com
https://www.nomooo.jp/,https://www.nomooo.jp/feed/,nomooo,Food,Disabled,,,article,,www.nomooo.jp
https://www.outdoorfoodgathering.jp/,https://www.outdoorfoodgathering.jp/feed/,野食ハンマープライス,Food,Disabled,,,article,,www.outdoorfoodgathering.jp
https://www.yamaken.org/mt/kuidaore/,https://www.yamaken.org/mt/kuidaore/index.rdf,やまけんの出張食い倒れ日記,Food,Disabled,,,article,,www.yamaken.org
https://www.koumetan.com/,https://www.koumetan.com/index.rdf,おいしい店・うまい店・安い店,Food,Disabled,,,article,,www.koumetan.com
https://magazine.tabelog.com/,https://magazine.tabelog.com/feed,食べログマガジン,Food,Disabled,,,article,,magazine.tabelog.com
https://bodymakingtips.com/,https://bodymakingtips.com/feed/,ワークアウトハッカー,Health,Disabled,,,article,,bodymakingtips.com
https://natrom.hatenablog.com/,https://natrom.hatenablog.com/feed,NATROMのブログ,Health,Disabled,,,article,,natrom.hatenablog.com
https://gooday.nikkei.co.jp/,https://gooday.nikkei.co.jp/rss/all.rdf,日経Gooday,Health,Disabled,,,article,,gooday.nikkei.co.jp
https://healthpolicyhealthecon.com/,https://healthpolicyhealthecon.com/feed/,医療政策学×医療経済学,Health,Disabled,,,article,,healthpolicyhealthecon.com
https://healthpress.jp/,https://healthpress.jp/index.xml,ヘルスプレス,Health,Disabled,,,article,,healthpress.jp
https://healthtechnews.jp/,https://healthtechnews.jp/feed/,HealthTechNews,Health,Disabled,,,article,,healthtechnews.jp
https://koujiebe.blog95.fc2.com/,https://koujiebe.blog95.fc2.com/?xml,ドクター江部の糖尿病徒然日記,Health,Disabled,,,article,,koujiebe.blog95.fc2.com
https://www.rehabilimemo.com/,https://www.rehabilimemo.com/feed,リハビリmemo,Health,Disabled,,,article,,www.rehabilimemo.com
https://rokushin.blog.ss-blog.jp/,https://rokushin.blog.ss-blog.jp/index.rdf,北品川藤クリニック院長のブログ,Health,Disabled,,,article,,rokushin.blog.ss-blog.jp
https://techtarget.itmedia.co.jp/tt/healthcare/,https://rss.itmedia.co.jp/rss/1.0/tt_healthcare.xml,TechTargetジャパン,Health,Disabled,,,article,,techtarget.itmedia.co.jp
https://ameblo.jp/kyupin/,https://rssblog.ameba.jp/kyupin/rss20.xml,kyupinの日記,Health,Disabled,,,article,,ameblo.jp
https://tech.nikkeibp.co.jp/dm/ndh/,https://xtech.nikkei.com/dm/ndh/index.rdf,日経デジタルヘルス ,Health,Disabled,,,article,,xtech.nikkei.com
https://www.carenet.com/,https://www.carenet.com/rss/news/index.xml,CareNet.com医療ニュース,Health,Disabled,,,article,,www.carenet.com
https://www.foocom.net/,https://foocom.net/feed/,FOOCOM.NET,Health,Disabled,,,article,,foocom.net
https://www.mylohas.net,https://www.mylohas.net/atom.xml,MYLOHAS,Health,Disabled,,,article,,www.mylohas.net
https://daigoblog.jp/,https://daigoblog.jp/feed/,Mentalist DaiGo Official Blog,Health,Disabled,,,article,,daigoblog.jp
https://100life.jp/,https://100life.jp/feed/,100%LiFE ,Home,Disabled,,,article,,100life.jp
https://www.realtokyoestate.co.jp/,https://www.realtokyoestate.co.jp/rss.php,東京Ｒ不動産,Home,Disabled,,,article,,www.realtokyoestate.co.jp
https://yadokari.net,https://yadokari.net/feed/,YADOKARI,Home,Disabled,,,article,,yadokari.net
https://bukkenfan.jp/,https://bukkenfan.jp/entries.atom,物件ファン,Home,Disabled,,,article,,bukkenfan.jp
https://finalvent.cocolog-nifty.com/fareastblog/,https://finalvent.cocolog-nifty.com/fareastblog/atom.xml,極東ブログ,Politics,Disabled,,,article,,finalvent.cocolog-nifty.com
https://ikedanobuo.livedoor.biz/,https://ikedanobuo.livedoor.biz/index.rdf,池田信夫 blog,Politics,Disabled,,,article,,ikedanobuo.livedoor.biz
https://ameblo.jp/takaakimitsuhashi/,https://rssblog.ameba.jp/takaakimitsuhashi/rss20.xml,三橋貴明オフィシャルブログ「新世紀のビッグブラザーへ blog」,Politics,Disabled,,,article,,ameblo.jp
https://takedanet.com/,https://takedanet.com/atom.xml,武田邦彦 （中部大学）,Politics,Disabled,,,article,,takedanet.com
https://www.nikaidou.com,https://www.nikaidou.com/feed,二階堂ドットコム,Politics,Disabled,,,article,,www.nikaidou.com
https://aasj.jp/,https://aasj.jp/category/news/watch/feed,AASJホームページ -論文ウォッチ-,Science,Disabled,,,article,,aasj.jp
https://blog.knak.jp/,https://blog.knak.jp/atom.xml,化学業界の話題,Science,Disabled,,,article,,blog.knak.jp
https://sciencejournal.livedoor.biz/,https://sciencejournal.livedoor.biz/index.rdf,サイエンスジャーナル,Science,Disabled,,,article,,sciencejournal.livedoor.biz
https://blog.livedoor.jp/route408/,https://blog.livedoor.jp/route408/index.rdf,有機化学美術館・分館,Science,Disabled,,,article,,blog.livedoor.jp
https://hiroyukikojima.hatenablog.com/,https://hiroyukikojima.hatenablog.com/feed,hiroyukikojima’s blog,Science,Disabled,,,article,,hiroyukikojima.hatenablog.com
https://next49.hatenadiary.jp/,https://next49.hatenadiary.jp/feed,発声練習,Science,Disabled,,,article,,next49.hatenadiary.jp
https://shorebird.hatenablog.com/,https://shorebird.hatenablog.com/feed,shorebird　進化心理学中心の書評など,Science,Disabled,,,article,,shorebird.hatenablog.com
https://www.chem-station.com,https://www.chem-station.com/blog/feed,Chem-Station,Science,Disabled,,,article,,www.chem-station.com
https://www.jaxa.jp/,https://www.jaxa.jp/rss/new_j.rdf,JAXA 宇宙航空研究開発機構,Science,Disabled,,,article,,www.jaxa.jp
https://www.natureasia.com/ja-jp,https://www.natureasia.com/ja-jp/rss/nature,Nature ダイジェスト,Science,Disabled,,,article,,www.natureasia.com
https://www.nikkei-science.com,https://www.nikkei-science.com/?feed=rss2,日経サイエンス,Science,Disabled,,,article,,www.nikkei-science.com
https://www.riken.jp/feed/press_feed/,https://www.riken.jp/feed/press_feed/,プレスリリースニュース,Science,Disabled,,,article,,www.riken.jp
https://www.scienceplus2ch.com/,https://www.scienceplus2ch.com/index.rdf,(*ﾟ∀ﾟ)ゞカガクニュース隊,Science,Disabled,,,article,,www.scienceplus2ch.com
https://bio.nikkeibp.co.jp/,https://bio.nikkeibp.co.jp/rss/bio/index.rdf,日経バイオテクONLINE,Science,Disabled,,,article,,bio.nikkeibp.co.jp
https://nazology.net/,https://nazology.net/feed,ナゾロジー,Science,Disabled,,,article,,nazology.net
https://absurd.blogo.jp/,https://absurd.blogo.jp/index.rdf,非常識＠なんJ～野球ネタを中心にまとめるブログ～,Sports,Disabled,,,article,,absurd.blogo.jp
https://blog.livedoor.jp/aushio/,https://blog.livedoor.jp/aushio/index.rdf,つれさか　-徒然サッカー雑記-,Sports,Disabled,,,article,,blog.livedoor.jp
https://blog.livedoor.jp/i6469/,https://blog.livedoor.jp/i6469/index.rdf,MLB NEWS@なんJ,Sports,Disabled,,,article,,blog.livedoor.jp
https://blog.livedoor.jp/livejupiter2/,https://blog.livedoor.jp/livejupiter2/index.rdf,なんJ（まとめては）いかんのか？,Sports,Disabled,,,article,,blog.livedoor.jp
https://blog.livedoor.jp/nanjstu/,https://blog.livedoor.jp/nanjstu/index.rdf,なんじぇいスタジアム＠なんJまとめ,Sports,Disabled,,,article,,blog.livedoor.jp
https://blog.livedoor.jp/soccerkusoyarou/,https://blog.livedoor.jp/soccerkusoyarou/index.rdf,サッカーミックスジュース,Sports,Disabled,,,article,,blog.livedoor.jp
https://blog.livedoor.jp/vitaminw/,https://blog.livedoor.jp/vitaminw/index.rdf,スポーツ見るもの語る者～フモフモコラム,Sports,Disabled,,,article,,blog.livedoor.jp
https://blog.livedoor.jp/yakiusoku/,https://blog.livedoor.jp/yakiusoku/index.rdf,日刊やきう速報,Sports,Disabled,,,article,,blog.livedoor.jp
https://f1-gate.com/,https://f1-gate.com/rss2.xml,F1-Gate.com,Sports,Disabled,,,article,,f1-gate.com
https://football-2ch.com/,https://football-2ch.com/index.rdf,フットボール速報,Sports,Disabled,,,article,,football-2ch.com
https://footballnet.2chblog.jp/,https://footballnet.2chblog.jp/index.rdf,footballnet,Sports,Disabled,,,article,,footballnet.2chblog.jp
https://news.yahoo.co.jp/search/?p=%E6%97%A5%E5%88%8A%E3%82%B2%E3%83%B3%E3%83%80%E3%82%A4DIGITAL&vaop=a&to=2&st=n&c_n=c_spo/,https://news.yahoo.co.jp/rss/topics/top-picks.xml,日刊ゲンダイDIGITAL ,Sports,Disabled,,,article,,news.yahoo.co.jp
https://news.yahoo.co.jp/search/?p=%E3%82%B9%E3%83%9D%E3%83%8B%E3%83%81%E3%82%A2%E3%83%8D%E3%83%83%E3%82%AF%E3%82%B9&vaop=a&to=2&st=n&c_n=c_spo/,https://news.yahoo.co.jp/rss/topics/top-picks.xml,スポニチアネックス ,Sports,Disabled,,,article,,news.yahoo.co.jp
https://hsyf610muto.seesaa.net/,https://hsyf610muto.seesaa.net/index.rdf,武藤文雄のサッカー講釈,Sports,Disabled,,,article,,hsyf610muto.seesaa.net
https://koisoku.ldblog.jp/,https://koisoku.ldblog.jp/index.rdf,鯉速＠広島東洋カープまとめブログ,Sports,Disabled,,,article,,koisoku.ldblog.jp
